index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
216	k l aɪ m	k l aɪ m d	climb	climbed	⋊ k l a ɪ m ⋉	⋊ k l a ɪ m d ⋉
217	h eɪ t	h eɪ t ə d	hate	hated	⋊ h e t ⋉	⋊ h e t ɪ d ⋉
218	ɪ n t ɹ ə d u s	ɪ n t ɹ ə d u s t	introduce	introduced	⋊ ɪ n t ɹ ə d u s ⋉	⋊ ɪ n t ɹ ə d u s t ⋉
219	ɹ ɪ ŋ	ɹ æ ŋ	ring	rang	⋊ ɹ ɪ ŋ ⋉	⋊ ɹ ɑ ŋ ⋉
220	m æ t ɚ	m æ t ɚ d	matter	mattered	⋊ m ɑ t ɛ ɹ ⋉	⋊ m ɑ t ɛ ɹ d ⋉
221	s ɚ v aɪ v	s ɚ v aɪ v d	survive	survived	⋊ s ɛ ɹ v a ɪ v ⋉	⋊ s ɛ ɹ v a ɪ v d ⋉
222	oʊ n	oʊ n d	own	owned	⋊ o n ⋉	⋊ o n d ⋉
223	ə ɹ eɪ n dʒ	ə ɹ eɪ n dʒ d	arrange	arranged	⋊ ə ɹ e n d ʒ ⋉	⋊ ə ɹ e n d ʒ d ⋉
224	l ɪ f t	l ɪ f t ə d	lift	lifted	⋊ l ɪ f t ⋉	⋊ l ɪ f t ɪ d ⋉
225	s p ɹ ɛ d	s p ɹ ɛ d	spread		⋊ s p ɹ ɛ d ⋉	⋊ s p ɹ ɛ d ⋉
226	b ɚ n	b ɚ n d	burn	burned	⋊ b ɛ ɹ n ⋉	⋊ b ɛ ɹ n d ⋉
227	b ɚ n	b ɚ n t	burn	burnt	⋊ b ɛ ɹ n ⋉	⋊ b ɛ ɹ n t ⋉
228	g eɪ n	g eɪ n d	gain	gained	⋊ g e n ⋉	⋊ g e n d ⋉
229	p ɹ ɛ s	p ɹ ɛ s t	press	pressed	⋊ p ɹ ɛ s ⋉	⋊ p ɹ ɛ s t ⋉
230	d ɪ z aɪ n	d ɪ z aɪ n d	design	designed	⋊ d ɪ z a ɪ n ⋉	⋊ d ɪ z a ɪ n d ⋉
231	k ə n t ɹ oʊ l	k ə n t ɹ oʊ l d	control	controlled	⋊ k ə n t ɹ o l ⋉	⋊ k ə n t ɹ o l d ⋉
232	p ʌ b l ɪ ʃ	p ʌ b l ɪ ʃ t	publish	published	⋊ p ʌ b l ɪ ʃ ⋉	⋊ p ʌ b l ɪ ʃ t ⋉
233	b i t	b i t	beat		⋊ b i t ⋉	⋊ b i t ⋉
234	oʊ ɹ d ɚ	oʊ ɹ d ɚ d	order	ordered	⋊ o ɹ d ɛ ɹ ⋉	⋊ o ɹ d ɛ ɹ d ⋉
235	p ɹ ə t ɛ k t	p ɹ ə t ɛ k t ə d	protect	protected	⋊ p ɹ ə t ɛ k t ⋉	⋊ p ɹ ə t ɛ k t ɪ d ⋉
236	m ɪ s	m ɪ s t	miss	missed	⋊ m ɪ s ⋉	⋊ m ɪ s t ⋉
237	ɹ ɪ p l aɪ	ɹ ɪ p l aɪ d	reply	replied	⋊ ɹ ɪ p l a ɪ ⋉	⋊ ɹ ɪ p l a ɪ d ⋉
238	k ə m p eɪ ɹ	k ə m p eɪ ɹ d	compare	compared	⋊ k ə m p e ɹ ⋉	⋊ k ə m p e ɹ d ⋉
239	b l oʊ	b l u	blow	blew	⋊ b l o ⋉	⋊ b l u ⋉
240	ʃ aʊ t	ʃ aʊ t ə d	shout	shouted	⋊ ʃ a ʊ t ⋉	⋊ ʃ a ʊ t ɪ d ⋉
241	tʃ ɛ k	tʃ ɛ k t	check	checked	⋊ t ʃ ɛ k ⋉	⋊ t ʃ ɛ k t ⋉
242	b ə l ɔ ŋ	b ə l ɔ ŋ d	belong	belonged	⋊ b ə l ɔ ŋ ⋉	⋊ b ə l ɔ ŋ d ⋉
243	a p ə ɹ eɪ t	a p ə ɹ eɪ t ə d	operate	operated	⋊ a p ə ɹ e t ⋉	⋊ a p ə ɹ e t ɪ d ⋉
244	p ɹ ɪ f ɚ	p ɹ ɪ f ɚ d	prefer	preferred	⋊ p ɹ ɪ f ɛ ɹ ⋉	⋊ p ɹ ɪ f ɛ ɹ d ⋉
245	d ɹ ɛ s	d ɹ ɛ s t	dress	dressed	⋊ d ɹ ɛ s ⋉	⋊ d ɹ ɛ s t ⋉
246	d ɪ m æ n d	d ɪ m æ n d ə d	demand	demanded	⋊ d ɪ m ɑ n d ⋉	⋊ d ɪ m ɑ n d ɪ d ⋉
247	ɪ m ɚ dʒ	ɪ m ɚ dʒ d	emerge	emerged	⋊ ɪ m ɛ ɹ d ʒ ⋉	⋊ ɪ m ɛ ɹ d ʒ d ⋉
248	s ɛ t ə l	s ɛ t ə l d	settle	settled	⋊ s ɛ t ə l ⋉	⋊ s ɛ t ə l d ⋉
249	ə p ɹ oʊ tʃ	ə p ɹ oʊ tʃ t	approach	approached	⋊ ə p ɹ o t ʃ ⋉	⋊ ə p ɹ o t ʃ t ⋉
250	ɪ n t ɛ n d	ɪ n t ɛ n d ə d	intend	intended	⋊ ɪ n t ɛ n d ⋉	⋊ ɪ n t ɛ n d ɪ d ⋉
251	p ɹ ɪ p eɪ ɹ	p ɹ ɪ p eɪ ɹ d	prepare	prepared	⋊ p ɹ ɪ p e ɹ ⋉	⋊ p ɹ ɪ p e ɹ d ⋉
252	n a d	n a d ə d	nod	nodded	⋊ n a d ⋉	⋊ n a d ɪ d ⋉
253	p oʊ ɹ	p oʊ ɹ d	pour	poured	⋊ p o ɹ ⋉	⋊ p o ɹ d ⋉
254	ɹ ɪ v i l	ɹ ɪ v i l d	reveal	revealed	⋊ ɹ ɪ v i l ⋉	⋊ ɹ ɪ v i l d ⋉
255	f i ɹ	f i ɹ d	fear	feared	⋊ f i ɹ ⋉	⋊ f i ɹ d ⋉
256	s ɪ ŋ	s æ ŋ	sing	sang	⋊ s ɪ ŋ ⋉	⋊ s ɑ ŋ ⋉
257	ə t ɛ m p t	ə t ɛ m p t ə d	attempt	attempted	⋊ ə t ɛ m p t ⋉	⋊ ə t ɛ m p t ɪ d ⋉
258	p ɚ f oʊ ɹ m	p ɚ f oʊ ɹ m d	perform	performed	⋊ p ɛ ɹ f o ɹ m ⋉	⋊ p ɛ ɹ f o ɹ m d ⋉
259	ɹ ɪ f l ɛ k t	ɹ ɪ f l ɛ k t ə d	reflect	reflected	⋊ ɹ ɪ f l ɛ k t ⋉	⋊ ɹ ɪ f l ɛ k t ɪ d ⋉
260	ɪ n s ɪ s t	ɪ n s ɪ s t ə d	insist	insisted	⋊ ɪ n s ɪ s t ⋉	⋊ ɪ n s ɪ s t ɪ d ⋉
261	ɪ g z æ m ɪ n	ɪ g z æ m ɪ n d	examine	examined	⋊ ɪ g z ɑ m ɪ n ⋉	⋊ ɪ g z ɑ m ɪ n d ⋉
262	g ɛ s	g ɛ s t	guess	guessed	⋊ g ɛ s ⋉	⋊ g ɛ s t ⋉
263	g æ ð ɚ	g æ ð ɚ d	gather	gathered	⋊ g ɑ ð ɛ ɹ ⋉	⋊ g ɑ ð ɛ ɹ d ⋉
264	p ɹ a m ɪ s	p ɹ a m ɪ s t	promise	promised	⋊ p ɹ a m ɪ s ⋉	⋊ p ɹ a m ɪ s t ⋉
265	k ɹ ɔ s	k ɹ ɔ s t	cross	crossed	⋊ k ɹ ɔ s ⋉	⋊ k ɹ ɔ s t ⋉
266	ɹ ɪ p l eɪ s	ɹ ɪ p l eɪ s t	replace	replaced	⋊ ɹ ɪ p l e s ⋉	⋊ ɹ ɪ p l e s t ⋉
267	ɪ n d ə k eɪ t	ɪ n d ə k eɪ t ə d	indicate	indicated	⋊ ɪ n d ə k e t ⋉	⋊ ɪ n d ə k e t ɪ d ⋉
268	f ɪ t	f ɪ t	fit	fitted	⋊ f ɪ t ⋉	⋊ f ɪ t ⋉
269	ə t ɛ n d	ə t ɛ n d ə d	attend	attended	⋊ ə t ɛ n d ⋉	⋊ ə t ɛ n d ɪ d ⋉
270	ʃ u t	ʃ a t	shoot	shot	⋊ ʃ u t ⋉	⋊ ʃ a t ⋉
271	ə n aʊ n s	ə n aʊ n s t	announce	announced	⋊ ə n a ʊ n s ⋉	⋊ ə n a ʊ n s t ⋉
272	ɪ k s t ɛ n d	ɪ k s t ɛ n d ə d	extend	extended	⋊ ɪ k s t ɛ n d ⋉	⋊ ɪ k s t ɛ n d ɪ d ⋉
273	ə f ɛ k t	ə f ɛ k t ə d	affect	affected	⋊ ə f ɛ k t ⋉	⋊ ə f ɛ k t ɪ d ⋉
274	l i n	l i n d	lean	leaned	⋊ l i n ⋉	⋊ l i n d ⋉
275	ɹ oʊ l	ɹ oʊ l d	roll	rolled	⋊ ɹ o l ⋉	⋊ ɹ o l d ⋉
276	p eɪ n t	p eɪ n t ə d	paint	painted	⋊ p e n t ⋉	⋊ p e n t ɪ d ⋉
277	k ʊ k	k ʊ k t	cook	cooked	⋊ k ʊ k ⋉	⋊ k ʊ k t ⋉
278	ʃ ʌ t	ʃ ʌ t	shut		⋊ ʃ ʌ t ⋉	⋊ ʃ ʌ t ⋉
279	l æ s t	l æ s t ə d	last	lasted	⋊ l ɑ s t ⋉	⋊ l ɑ s t ɪ d ⋉
280	ɪ g n oʊ ɹ	ɪ g n oʊ ɹ d	ignore	ignored	⋊ ɪ g n o ɹ ⋉	⋊ ɪ g n o ɹ d ⋉
281	h æ n d	h æ n d ə d	hand	handed	⋊ h ɑ n d ⋉	⋊ h ɑ n d ɪ d ⋉
282	ə t æ k	ə t æ k t	attack	attacked	⋊ ə t ɑ k ⋉	⋊ ə t ɑ k t ⋉
283	k ə l ɛ k t	k ə l ɛ k t ə d	collect	collected	⋊ k ə l ɛ k t ⋉	⋊ k ə l ɛ k t ɪ d ⋉
284	ə b z ɚ v	ə b z ɚ v d	observe	observed	⋊ ə b z ɛ ɹ v ⋉	⋊ ə b z ɛ ɹ v d ⋉
285	d ɪ s ə p i ɹ	d ɪ s ə p i ɹ d	disappear	disappeared	⋊ d ɪ s ə p i ɹ ⋉	⋊ d ɪ s ə p i ɹ d ⋉
286	aɪ d ɛ n t ə f aɪ	aɪ d ɛ n t ə f aɪ d	identify	identified	⋊ a ɪ d ɛ n t ə f a ɪ ⋉	⋊ a ɪ d ɛ n t ə f a ɪ d ⋉
287	s t ɹ ɛ tʃ	s t ɹ ɛ tʃ t	stretch	stretched	⋊ s t ɹ ɛ t ʃ ⋉	⋊ s t ɹ ɛ t ʃ t ⋉
288	ə b t eɪ n	ə b t eɪ n d	obtain	obtained	⋊ ə b t e n ⋉	⋊ ə b t e n d ⋉
289	h ɚ t	h ɚ t	hurt		⋊ h ɛ ɹ t ⋉	⋊ h ɛ ɹ t ⋉
290	dʒ ʌ m p	dʒ ʌ m p t	jump	jumped	⋊ d ʒ ʌ m p ⋉	⋊ d ʒ ʌ m p t ⋉
291	h æ n d ə l	h æ n d ə l d	handle	handled	⋊ h ɑ n d ə l ⋉	⋊ h ɑ n d ə l d ⋉
292	k ə m b aɪ n	k ə m b aɪ n d	combine	combined	⋊ k ə m b a ɪ n ⋉	⋊ k ə m b a ɪ n d ⋉
293	s ə k s i d	s ə k s i d ə d	succeed	succeeded	⋊ s ə k s i d ⋉	⋊ s ə k s i d ɪ d ⋉
294	ɹ ɪ p i t	ɹ ɪ p i t ə d	repeat	repeated	⋊ ɹ ɪ p i t ⋉	⋊ ɹ ɪ p i t ɪ d ⋉
295	w eɪ k	w oʊ k	wake	waked	⋊ w e k ⋉	⋊ w o k ⋉
296	b ɛ n d	b ɛ n t	bend	bended	⋊ b ɛ n d ⋉	⋊ b ɛ n t ⋉
297	d æ n s	d æ n s t	dance	danced	⋊ d ɑ n s ⋉	⋊ d ɑ n s t ⋉
298	d ɪ n aɪ	d ɪ n aɪ d	deny	denied	⋊ d ɪ n a ɪ ⋉	⋊ d ɪ n a ɪ d ⋉
299	ɪ n v aɪ t	ɪ n v aɪ t ə d	invite	invited	⋊ ɪ n v a ɪ t ⋉	⋊ ɪ n v a ɪ t ɪ d ⋉
300	d ɪ v aɪ d	d ɪ v aɪ d ə d	divide	divided	⋊ d ɪ v a ɪ d ⋉	⋊ d ɪ v a ɪ d ɪ d ⋉
301	p ɹ ə p oʊ z	p ɹ ə p oʊ z d	propose	proposed	⋊ p ɹ ə p o z ⋉	⋊ p ɹ ə p o z d ⋉
302	s ə s p ɛ k t	s ə s p ɛ k t ə d	suspect	suspected	⋊ s ə s p ɛ k t ⋉	⋊ s ə s p ɛ k t ɪ d ⋉
303	θ ɹ ɛ t ə n	θ ɹ ɛ t ə n d	threaten	threatened	⋊ θ ɹ ɛ t ə n ⋉	⋊ θ ɹ ɛ t ə n d ⋉
304	m aɪ n d	m aɪ n d ə d	mind	minded	⋊ m a ɪ n d ⋉	⋊ m a ɪ n d ɪ d ⋉
305	k aʊ n t	k aʊ n t ə d	count	counted	⋊ k a ʊ n t ⋉	⋊ k a ʊ n t ɪ d ⋉
306	ə f oʊ ɹ d	ə f oʊ ɹ d ə d	afford	afforded	⋊ ə f o ɹ d ⋉	⋊ ə f o ɹ d ɪ d ⋉
307	oʊ ɹ g ə n aɪ z	oʊ ɹ g ə n aɪ z d	organize	organized	⋊ o ɹ g ə n a ɪ z ⋉	⋊ o ɹ g ə n a ɪ z d ⋉
308	ɪ m p l ɔɪ	ɪ m p l ɔɪ d	employ	employed	⋊ ɪ m p l ɔ ɪ ⋉	⋊ ɪ m p l ɔ ɪ d ⋉
309	l a k	l a k t	lock	locked	⋊ l a k ⋉	⋊ l a k t ⋉
310	t eɪ ɹ	t oʊ ɹ	tear	tore	⋊ t e ɹ ⋉	⋊ t o ɹ ⋉
311	s l ɪ p	s l ɪ p t	slip	slipped	⋊ s l ɪ p ⋉	⋊ s l ɪ p t ⋉
312	t aɪ	t aɪ d	tie	tied	⋊ t a ɪ ⋉	⋊ t a ɪ d ⋉
313	ɹ ɪ m aɪ n d	ɹ ɪ m aɪ n d ə d	remind	reminded	⋊ ɹ ɪ m a ɪ n d ⋉	⋊ ɹ ɪ m a ɪ n d ɪ d ⋉
314	ə ɹ aɪ z	ə ɹ oʊ z	arise	arose	⋊ ə ɹ a ɪ z ⋉	⋊ ə ɹ o z ⋉
315	k a n s ə n t ɹ eɪ t	k a n s ə n t ɹ eɪ t ə d	concentrate	concentrated	⋊ k a n s ə n t ɹ e t ⋉	⋊ k a n s ə n t ɹ e t ɪ d ⋉
316	k l i n	k l i n d	clean	cleaned	⋊ k l i n ⋉	⋊ k l i n d ⋉
317	ə p oʊ z	ə p oʊ z d	oppose	opposed	⋊ ə p o z ⋉	⋊ ə p o z d ⋉
318	ɪ s k eɪ p	ɪ s k eɪ p t	escape	escaped	⋊ ɪ s k e p ⋉	⋊ ɪ s k e p t ⋉
319	ɹ ɪ dʒ ɛ k t	ɹ ɪ dʒ ɛ k t ə d	reject	rejected	⋊ ɹ ɪ d ʒ ɛ k t ⋉	⋊ ɹ ɪ d ʒ ɛ k t ɪ d ⋉
320	n oʊ t	n oʊ t ə d	note	noted	⋊ n o t ⋉	⋊ n o t ɪ d ⋉
321	t ɹ eɪ n	t ɹ eɪ n d	train	trained	⋊ t ɹ e n ⋉	⋊ t ɹ e n d ⋉
322	k ɪ s	k ɪ s t	kiss	kissed	⋊ k ɪ s ⋉	⋊ k ɪ s t ⋉
323	ɪ n ʃ u ɹ	ɪ n ʃ u ɹ d	ensure	ensured	⋊ ɪ n ʃ u ɹ ⋉	⋊ ɪ n ʃ u ɹ d ⋉
324	ə d a p t	ə d a p t ə d	adopt	adopted	⋊ ə d a p t ⋉	⋊ ə d a p t ɪ d ⋉
325	b a ð ɚ	b a ð ɚ d	bother	bothered	⋊ b a ð ɛ ɹ ⋉	⋊ b a ð ɛ ɹ d ⋉
326	n eɪ m	n eɪ m d	name	named	⋊ n e m ⋉	⋊ n e m d ⋉
327	ɹ ɪ l i s	ɹ ɪ l i s t	release	released	⋊ ɹ ɪ l i s ⋉	⋊ ɹ ɪ l i s t ⋉
328	ə k w aɪ ɚ	ə k w aɪ ɚ d	acquire	acquired	⋊ ə k w a ɪ ɛ ɹ ⋉	⋊ ə k w a ɪ ɛ ɹ d ⋉
329	ɹ ɪ z ʌ l t	ɹ ɪ z ʌ l t ə d	result	resulted	⋊ ɹ ɪ z ʌ l t ⋉	⋊ ɹ ɪ z ʌ l t ɪ d ⋉
330	v oʊ t	v oʊ t ə d	vote	voted	⋊ v o t ⋉	⋊ v o t ɪ d ⋉
331	s t ɛ p	s t ɛ p t	step	stepped	⋊ s t ɛ p ⋉	⋊ s t ɛ p t ⋉
332	ɹ aɪ d	ɹ oʊ d	ride	rode	⋊ ɹ a ɪ d ⋉	⋊ ɹ o d ⋉
333	s æ t ɪ s f aɪ	s æ t ɪ s f aɪ d	satisfy	satisfied	⋊ s ɑ t ɪ s f a ɪ ⋉	⋊ s ɑ t ɪ s f a ɪ d ⋉
334	v eɪ ɹ i	v eɪ ɹ i d	vary	varied	⋊ v e ɹ i ⋉	⋊ v e ɹ i d ⋉
335	s w ɪ ŋ	s w ʌ ŋ	swing	swung	⋊ s w ɪ ŋ ⋉	⋊ s w ʌ ŋ ⋉
336	d ɪ f aɪ n	d ɪ f aɪ n d	define	defined	⋊ d ɪ f a ɪ n ⋉	⋊ d ɪ f a ɪ n d ⋉
337	d ɪ k l eɪ ɹ	d ɪ k l eɪ ɹ d	declare	declared	⋊ d ɪ k l e ɹ ⋉	⋊ d ɪ k l e ɹ d ⋉
338	k ɔ s t	k ɔ s t	cost	costed	⋊ k ɔ s t ⋉	⋊ k ɔ s t ⋉
339	p ɚ s w eɪ d	p ɚ s w eɪ d ə d	persuade	persuaded	⋊ p ɛ ɹ s w e d ⋉	⋊ p ɛ ɹ s w e d ɪ d ⋉
340	ə b æ n d ə n	ə b æ n d ə n d	abandon	abandoned	⋊ ə b ɑ n d ə n ⋉	⋊ ə b ɑ n d ə n d ⋉
341	t ɛ s t	t ɛ s t ə d	test	tested	⋊ t ɛ s t ⋉	⋊ t ɛ s t ɪ d ⋉
342	ɚ n	ɚ n d	earn	earned	⋊ ɛ ɹ n ⋉	⋊ ɛ ɹ n d ⋉
343	ə t ɹ æ k t	ə t ɹ æ k t ə d	attract	attracted	⋊ ə t ɹ ɑ k t ⋉	⋊ ə t ɹ ɑ k t ɪ d ⋉
344	ɪ n eɪ b ə l	ɪ n eɪ b ə l d	enable	enabled	⋊ ɪ n e b ə l ⋉	⋊ ɪ n e b ə l d ⋉
345	l aɪ t	l ɪ t	light	lighted	⋊ l a ɪ t ⋉	⋊ l ɪ t ⋉
346	n a k	n a k t	knock	knocked	⋊ n a k ⋉	⋊ n a k t ⋉
347	k ə m ɪ t	k ə m ɪ t ə d	commit	committed	⋊ k ə m ɪ t ⋉	⋊ k ə m ɪ t ɪ d ⋉
348	ɹ ɪ l æ k s	ɹ ɪ l æ k s t	relax	relaxed	⋊ ɹ ɪ l ɑ k s ⋉	⋊ ɹ ɪ l ɑ k s t ⋉
349	d aɪ ɹ ɛ k t	d aɪ ɹ ɛ k t ə d	direct	directed	⋊ d a ɪ ɹ ɛ k t ⋉	⋊ d a ɪ ɹ ɛ k t ɪ d ⋉
350	ɹ ɪ k ɔ l	ɹ ɪ k ɔ l d	recall	recalled	⋊ ɹ ɪ k ɔ l ⋉	⋊ ɹ ɪ k ɔ l d ⋉
351	s t i l	s t oʊ l	steal	stole	⋊ s t i l ⋉	⋊ s t o l ⋉
352	ɹ ɛ s t	ɹ ɛ s t ə d	rest	rested	⋊ ɹ ɛ s t ⋉	⋊ ɹ ɛ s t ɪ d ⋉
353	ɪ k s p i ɹ i ə n s	ɪ k s p i ɹ i ə n s t	experience	experienced	⋊ ɪ k s p i ɹ i ə n s ⋉	⋊ ɪ k s p i ɹ i ə n s t ⋉
354	s a l v	s a l v d	solve	solved	⋊ s a l v ⋉	⋊ s a l v d ⋉
355	ɹ ɪ k oʊ ɹ d	ɹ ɪ k oʊ ɹ d ə d	record	recorded	⋊ ɹ ɪ k o ɹ d ⋉	⋊ ɹ ɪ k o ɹ d ɪ d ⋉
356	ə s oʊ s i eɪ t	ə s oʊ s i eɪ t ə d	associate	associated	⋊ ə s o s i e t ⋉	⋊ ə s o s i e t ɪ d ⋉
357	p ɹ ɪ t ɛ n d	p ɹ ɪ t ɛ n d ə d	pretend	pretended	⋊ p ɹ ɪ t ɛ n d ⋉	⋊ p ɹ ɪ t ɛ n d ɪ d ⋉
358	k ə m p l eɪ n	k ə m p l eɪ n d	complain	complained	⋊ k ə m p l e n ⋉	⋊ k ə m p l e n d ⋉
359	d ɪ t ɚ m ɪ n	d ɪ t ɚ m ɪ n d	determine	determined	⋊ d ɪ t ɛ ɹ m ɪ n ⋉	⋊ d ɪ t ɛ ɹ m ɪ n d ⋉
360	ɹ ɪ s p a n d	ɹ ɪ s p a n d ə d	respond	responded	⋊ ɹ ɪ s p a n d ⋉	⋊ ɹ ɪ s p a n d ɪ d ⋉
361	s ə p l aɪ	s ə p l aɪ d	supply	supplied	⋊ s ə p l a ɪ ⋉	⋊ s ə p l a ɪ d ⋉
362	s w i p	s w ɛ p t	sweep	swept	⋊ s w i p ⋉	⋊ s w ɛ p t ⋉
363	a k j ə p aɪ	a k j ə p aɪ d	occupy	occupied	⋊ a k j ə p a ɪ ⋉	⋊ a k j ə p a ɪ d ⋉
364	ɹ ʌ ʃ	ɹ ʌ ʃ t	rush	rushed	⋊ ɹ ʌ ʃ ⋉	⋊ ɹ ʌ ʃ t ⋉
365	m ɪ k s	m ɪ k s t	mix	mixed	⋊ m ɪ k s ⋉	⋊ m ɪ k s t ⋉
366	s ɛ p ə ɹ eɪ t	s ɛ p ə ɹ eɪ t ə d	separate	separated	⋊ s ɛ p ə ɹ e t ⋉	⋊ s ɛ p ə ɹ e t ɪ d ⋉
367	s t eɪ t	s t eɪ t ə d	state	stated	⋊ s t e t ⋉	⋊ s t e t ɪ d ⋉
368	b eɪ ɹ i	b eɪ ɹ i d	bury	buried	⋊ b e ɹ i ⋉	⋊ b e ɹ i d ⋉
369	s ɪ ŋ k	s æ ŋ k	sink	sank	⋊ s ɪ ŋ k ⋉	⋊ s ɑ ŋ k ⋉
370	w oʊ ɹ n	w oʊ ɹ n d	warn	warned	⋊ w o ɹ n ⋉	⋊ w o ɹ n d ⋉
371	k l i ɹ	k l i ɹ d	clear	cleared	⋊ k l i ɹ ⋉	⋊ k l i ɹ d ⋉
372	m a ɹ k	m a ɹ k t	mark	marked	⋊ m a ɹ k ⋉	⋊ m a ɹ k t ⋉
373	ə t æ tʃ	ə t æ tʃ t	attach	attached	⋊ ə t ɑ t ʃ ⋉	⋊ ə t ɑ t ʃ t ⋉
374	s aɪ n	s aɪ n d	sign	signed	⋊ s a ɪ n ⋉	⋊ s a ɪ n d ⋉
375	ɪ k s p oʊ z	ɪ k s p oʊ z d	expose	exposed	⋊ ɪ k s p o z ⋉	⋊ ɪ k s p o z d ⋉
376	s ə ɹ aʊ n d	s ə ɹ aʊ n d ə d	surround	surrounded	⋊ s ə ɹ a ʊ n d ⋉	⋊ s ə ɹ a ʊ n d ɪ d ⋉
377	p ɹ æ k t ɪ s	p ɹ æ k t ɪ s t	practise	practised	⋊ p ɹ ɑ k t ɪ s ⋉	⋊ p ɹ ɑ k t ɪ s t ⋉
378	s k ɹ i m	s k ɹ i m d	scream	screamed	⋊ s k ɹ i m ⋉	⋊ s k ɹ i m d ⋉
379	d ɹ æ g	d ɹ æ g d	drag	dragged	⋊ d ɹ ɑ g ⋉	⋊ d ɹ ɑ g d ⋉
380	k ə m p l i t	k ə m p l i t ə d	complete	completed	⋊ k ə m p l i t ⋉	⋊ k ə m p l i t ɪ d ⋉
381	d eɪ ɹ	d eɪ ɹ d	dare	dared	⋊ d e ɹ ⋉	⋊ d e ɹ d ⋉
382	f aɪ ɚ	f aɪ ɚ d	fire	fired	⋊ f a ɪ ɛ ɹ ⋉	⋊ f a ɪ ɛ ɹ d ⋉
383	ə k ʌ m p ə n i	ə k ʌ m p ə n i d	accompany	accompanied	⋊ ə k ʌ m p ə n i ⋉	⋊ ə k ʌ m p ə n i d ⋉
384	t ɹ ʌ s t	t ɹ ʌ s t ə d	trust	trusted	⋊ t ɹ ʌ s t ⋉	⋊ t ɹ ʌ s t ɪ d ⋉
385	l oʊ ɚ	l oʊ ɚ d	lower	lowered	⋊ l o ɛ ɹ ⋉	⋊ l o ɛ ɹ d ⋉
386	d ɹ aɪ	d ɹ aɪ d	dry	dried	⋊ d ɹ a ɪ ⋉	⋊ d ɹ a ɪ d ⋉
387	g l æ n s	g l æ n s t	glance	glanced	⋊ g l ɑ n s ⋉	⋊ g l ɑ n s t ⋉
388	p ə z ɛ s	p ə z ɛ s t	possess	possessed	⋊ p ə z ɛ s ⋉	⋊ p ə z ɛ s t ⋉
389	s m ɛ l	s m ɛ l d	smell	smelled	⋊ s m ɛ l ⋉	⋊ s m ɛ l d ⋉
390	s m ɛ l	s m ɛ l t	smell	smelt	⋊ s m ɛ l ⋉	⋊ s m ɛ l t ⋉
391	s u t	s u t ə d	suit	suited	⋊ s u t ⋉	⋊ s u t ɪ d ⋉
392	d ɪ f ɛ n d	d ɪ f ɛ n d ə d	defend	defended	⋊ d ɪ f ɛ n d ⋉	⋊ d ɪ f ɛ n d ɪ d ⋉
393	h ɛ d	h ɛ d ə d	head	headed	⋊ h ɛ d ⋉	⋊ h ɛ d ɪ d ⋉
394	s w ɪ m	s w æ m	swim	swam	⋊ s w ɪ m ⋉	⋊ s w ɑ m ⋉
395	b l eɪ m	b l eɪ m d	blame	blamed	⋊ b l e m ⋉	⋊ b l e m d ⋉
396	d ɪ l ɪ v ɚ	d ɪ l ɪ v ɚ d	deliver	delivered	⋊ d ɪ l ɪ v ɛ ɹ ⋉	⋊ d ɪ l ɪ v ɛ ɹ d ⋉
397	ɪ k s p æ n d	ɪ k s p æ n d ə d	expand	expanded	⋊ ɪ k s p ɑ n d ⋉	⋊ ɪ k s p ɑ n d ɪ d ⋉
398	ɪ m p l aɪ	ɪ m p l aɪ d	imply	implied	⋊ ɪ m p l a ɪ ⋉	⋊ ɪ m p l a ɪ d ⋉
399	b ɪ h eɪ v	b ɪ h eɪ v d	behave	behaved	⋊ b ɪ h e v ⋉	⋊ b ɪ h e v d ⋉
400	d ɛ m ə n s t ɹ eɪ t	d ɛ m ə n s t ɹ eɪ t ə d	demonstrate	demonstrated	⋊ d ɛ m ə n s t ɹ e t ⋉	⋊ d ɛ m ə n s t ɹ e t ɪ d ⋉
401	ʃ ɪ f t	ʃ ɪ f t ə d	shift	shifted	⋊ ʃ ɪ f t ⋉	⋊ ʃ ɪ f t ɪ d ⋉
402	w eɪ v	w eɪ v d	wave	waved	⋊ w e v ⋉	⋊ w e v d ⋉
403	s ɚ tʃ	s ɚ tʃ t	search	searched	⋊ s ɛ ɹ t ʃ ⋉	⋊ s ɛ ɹ t ʃ t ⋉
404	tʃ a ɹ dʒ	tʃ a ɹ dʒ d	charge	charged	⋊ t ʃ a ɹ d ʒ ⋉	⋊ t ʃ a ɹ d ʒ d ⋉
405	ə p ɹ u v	ə p ɹ u v d	approve	approved	⋊ ə p ɹ u v ⋉	⋊ ə p ɹ u v d ⋉
406	f ɹ i z	f ɹ oʊ z	freeze	froze	⋊ f ɹ i z ⋉	⋊ f ɹ o z ⋉
407	s m oʊ k	s m oʊ k t	smoke	smoked	⋊ s m o k ⋉	⋊ s m o k t ⋉
408	k ə n f ɚ m	k ə n f ɚ m d	confirm	confirmed	⋊ k ə n f ɛ ɹ m ⋉	⋊ k ə n f ɛ ɹ m d ⋉
409	ɪ n g eɪ dʒ	ɪ n g eɪ dʒ d	engage	engaged	⋊ ɪ n g e d ʒ ⋉	⋊ ɪ n g e d ʒ d ⋉
