lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
ɪ m p ɹ ˈu v	ɪ m p ɹ ˈu v d	1685	improve	improved	∅ -> d	regular	NA	ɪmpɹˈuv	ɪmpɹˈuvd
s t ˈɪ k	s t ˈʌ k	1683	stick	stuck	ɪ -> ʌ	irregular	NA	stˈɪk	stˈʌk
p ɹ ɪ v ˈɛ n t	p ɹ ɪ v ˈɛ n t ɨ d	1676	prevent	prevented	∅ -> ɨ d	regular	NA	pɹɪvˈɛnt	pɹɪvˈɛntɨd
w ˈɔ ʃ	w ˈɔ ʃ t	1663	wash	washed	∅ -> t	regular	NA	wˈɔʃ	wˈɔʃt
h ˈeɪ t	h ˈeɪ t ɨ d	1643	hate	hated	∅ -> ɨ d	regular	NA	hˈet	hˈetɨd
k l ˈaɪ m	k l ˈaɪ m d	1643	climb	climbed	∅ -> d	regular	NA	klˈYm	klˈYmd
ɪ n t ɹ ə d ˈu s	ɪ n t ɹ ə d ˈu s t	1626	introduce	introduced	∅ -> t	regular	NA	ɪntɹədˈus	ɪntɹədˈust
ɹ ˈɪ ŋ	ɹ ˈæ ŋ	1625	ring	rang	ɪ -> æ	irregular	NA	ɹˈɪŋ	ɹˈæŋ
m ˈæ t ɚ	m ˈæ t ɚ d	1622	matter	mattered	∅ -> d	regular	NA	mˈætɚ	mˈætɚd
s ɚ v ˈaɪ v	s ɚ v ˈaɪ v d	1603	survive	survived	∅ -> d	regular	NA	sɚvˈYv	sɚvˈYvd
ˈoʊ n	ˈoʊ n d	1599	own	owned	∅ -> d	regular	NA	ˈon	ˈond
ə ɹ ˈeɪ n dʒ	ə ɹ ˈeɪ n dʒ d	1587	arrange	arranged	∅ -> d	regular	NA	əɹˈenJ	əɹˈenJd
l ˈɪ f t	l ˈɪ f t ɨ d	1578	lift	lifted	∅ -> ɨ d	regular	NA	lˈɪft	lˈɪftɨd
s p ɹ ˈɛ d	s p ɹ ˈɛ d	1578	spread	spread	no_change	irregular	NA	spɹˈɛd	spɹˈɛd
b ˈɝ n	b ˈɝ n d	1577	burn	burned	∅ -> d	regular	NA	bˈɝn	bˈɝnd
b ˈɝ n	b ˈɝ n t	1577	burn	burnt	∅ -> t	irregular	***double	bˈɝn	bˈɝnt
g ˈeɪ n	g ˈeɪ n d	1567	gain	gained	∅ -> d	regular	NA	gˈen	gˈend
p ɹ ˈɛ s	p ɹ ˈɛ s t	1567	press	pressed	∅ -> t	regular	NA	pɹˈɛs	pɹˈɛst
d ɪ z ˈaɪ n	d ɪ z ˈaɪ n d	1561	design	designed	∅ -> d	regular	NA	dɪzˈYn	dɪzˈYnd
k ə n t ɹ ˈoʊ l	k ə n t ɹ ˈoʊ l d	1549	control	controlled	∅ -> d	regular	NA	kəntɹˈol	kəntɹˈold
p ˈʌ b l ɪ ʃ	p ˈʌ b l ɪ ʃ t	1545	publish	published	∅ -> t	regular	NA	pˈʌblɪʃ	pˈʌblɪʃt
b ˈi t	b ˈi t	1544	beat	beat	no_change	irregular	NA	bˈit	bˈit
ˈoʊ ɹ d ɚ	ˈoʊ ɹ d ɚ d	1541	order	ordered	∅ -> d	regular	NA	ˈoɹdɚ	ˈoɹdɚd
p ɹ ə t ˈɛ k t	p ɹ ə t ˈɛ k t ɨ d	1534	protect	protected	∅ -> ɨ d	regular	NA	pɹətˈɛkt	pɹətˈɛktɨd
m ˈɪ s	m ˈɪ s t	1527	miss	missed	∅ -> t	regular	NA	mˈɪs	mˈɪst
ɹ ɪ p l ˈaɪ	ɹ ɪ p l ˈaɪ d	1517	reply	replied	∅ -> d	regular	NA	ɹɪplˈY	ɹɪplˈYd
k ə m p ˈeɪ ɹ	k ə m p ˈeɪ ɹ d	1511	compare	compared	∅ -> d	regular	NA	kəmpˈeɹ	kəmpˈeɹd
b l ˈoʊ	b l ˈu	1507	blow	blew	oʊ -> u	irregular	NA	blˈo	blˈu
ʃ ˈaʊ t	ʃ ˈaʊ t ɨ d	1504	shout	shouted	∅ -> ɨ d	regular	NA	ʃˈWt	ʃˈWtɨd
tʃ ˈɛ k	tʃ ˈɛ k t	1488	check	checked	∅ -> t	regular	NA	Cˈɛk	Cˈɛkt
b ə l ˈɔ ŋ	b ə l ˈɔ ŋ d	1483	belong	belonged	∅ -> d	regular	NA	bəlˈɔŋ	bəlˈɔŋd
ˈa p ə ɹ eɪ t	ˈa p ə ɹ eɪ t ɨ d	1476	operate	operated	∅ -> ɨ d	regular	NA	ˈapəɹet	ˈapəɹetɨd
p ɹ ɪ f ˈɝ	p ɹ ɪ f ˈɝ d	1472	prefer	preferred	∅ -> d	regular	NA	pɹɪfˈɝ	pɹɪfˈɝd
d ɹ ˈɛ s	d ɹ ˈɛ s t	1467	dress	dressed	∅ -> t	regular	NA	dɹˈɛs	dɹˈɛst
d ɪ m ˈæ n d	d ɪ m ˈæ n d ɨ d	1433	demand	demanded	∅ -> ɨ d	regular	NA	dɪmˈænd	dɪmˈændɨd
ɪ m ˈɝ dʒ	ɪ m ˈɝ dʒ d	1433	emerge	emerged	∅ -> d	regular	NA	ɪmˈɝJ	ɪmˈɝJd
s ˈɛ t ə l	s ˈɛ t ə l d	1428	settle	settled	∅ -> d	regular	NA	sˈɛtəl	sˈɛtəld
ə p ɹ ˈoʊ tʃ	ə p ɹ ˈoʊ tʃ t	1427	approach	approached	∅ -> t	regular	NA	əpɹˈoC	əpɹˈoCt
ɪ n t ˈɛ n d	ɪ n t ˈɛ n d ɨ d	1425	intend	intended	∅ -> ɨ d	regular	NA	ɪntˈɛnd	ɪntˈɛndɨd
p ɹ ɪ p ˈeɪ ɹ	p ɹ ɪ p ˈeɪ ɹ d	1423	prepare	prepared	∅ -> d	regular	NA	pɹɪpˈeɹ	pɹɪpˈeɹd
n ˈa d	n ˈa d ɨ d	1413	nod	nodded	∅ -> ɨ d	regular	NA	nˈad	nˈadɨd
p ˈoʊ ɹ	p ˈoʊ ɹ d	1413	pour	poured	∅ -> d	regular	NA	pˈoɹ	pˈoɹd
ɹ ɪ v ˈi l	ɹ ɪ v ˈi l d	1412	reveal	revealed	∅ -> d	regular	NA	ɹɪvˈil	ɹɪvˈild
f ˈi ɹ	f ˈi ɹ d	1410	fear	feared	∅ -> d	regular	NA	fˈiɹ	fˈiɹd
s ˈɪ ŋ	s ˈæ ŋ	1407	sing	sang	ɪ -> æ	irregular	NA	sˈɪŋ	sˈæŋ
ə t ˈɛ m p t	ə t ˈɛ m p t ɨ d	1404	attempt	attempted	∅ -> ɨ d	regular	NA	ətˈɛmpt	ətˈɛmptɨd
p ɚ f ˈoʊ ɹ m	p ɚ f ˈoʊ ɹ m d	1398	perform	performed	∅ -> d	regular	NA	pɚfˈoɹm	pɚfˈoɹmd
ɹ ɪ f l ˈɛ k t	ɹ ɪ f l ˈɛ k t ɨ d	1396	reflect	reflected	∅ -> ɨ d	regular	NA	ɹɪflˈɛkt	ɹɪflˈɛktɨd
ɪ n s ˈɪ s t	ɪ n s ˈɪ s t ɨ d	1393	insist	insisted	∅ -> ɨ d	regular	NA	ɪnsˈɪst	ɪnsˈɪstɨd
ɪ g z ˈæ m ɪ n	ɪ g z ˈæ m ɪ n d	1387	examine	examined	∅ -> d	regular	NA	ɪgzˈæmɪn	ɪgzˈæmɪnd
g ˈɛ s	g ˈɛ s t	1384	guess	guessed	∅ -> t	regular	NA	gˈɛs	gˈɛst
g ˈæ ð ɚ	g ˈæ ð ɚ d	1369	gather	gathered	∅ -> d	regular	NA	gˈæðɚ	gˈæðɚd
p ɹ ˈa m ɪ s	p ɹ ˈa m ɪ s t	1355	promise	promised	∅ -> t	regular	NA	pɹˈamɪs	pɹˈamɪst
k ɹ ˈɔ s	k ɹ ˈɔ s t	1353	cross	crossed	∅ -> t	regular	NA	kɹˈɔs	kɹˈɔst
ɹ ɪ p l ˈeɪ s	ɹ ɪ p l ˈeɪ s t	1349	replace	replaced	∅ -> t	regular	NA	ɹɪplˈes	ɹɪplˈest
ˈɪ n d ə k eɪ t	ˈɪ n d ə k eɪ t ɨ d	1348	indicate	indicated	∅ -> ɨ d	regular	NA	ˈɪndəket	ˈɪndəketɨd
f ˈɪ t	f ˈɪ t	1343	fit	fitted	no_change	irregular	NA	fˈɪt	fˈɪt
ə t ˈɛ n d	ə t ˈɛ n d ɨ d	1340	attend	attended	∅ -> ɨ d	regular	NA	ətˈɛnd	ətˈɛndɨd
ʃ ˈu t	ʃ ˈa t	1336	shoot	shot	u -> a	irregular	NA	ʃˈut	ʃˈat
ə n ˈaʊ n s	ə n ˈaʊ n s t	1334	announce	announced	∅ -> t	regular	NA	ənˈWns	ənˈWnst
ɪ k s t ˈɛ n d	ɪ k s t ˈɛ n d ɨ d	1330	extend	extended	∅ -> ɨ d	regular	NA	ɪkstˈɛnd	ɪkstˈɛndɨd
ə f ˈɛ k t	ə f ˈɛ k t ɨ d	1323	affect	affected	∅ -> ɨ d	regular	NA	əfˈɛkt	əfˈɛktɨd
l ˈi n	l ˈi n d	1290	lean	leaned	∅ -> d	regular	NA	lˈin	lˈind
ɹ ˈoʊ l	ɹ ˈoʊ l d	1287	roll	rolled	∅ -> d	regular	NA	ɹˈol	ɹˈold
p ˈeɪ n t	p ˈeɪ n t ɨ d	1285	paint	painted	∅ -> ɨ d	regular	NA	pˈent	pˈentɨd
k ˈʊ k	k ˈʊ k t	1284	cook	cooked	∅ -> t	regular	NA	kˈʊk	kˈʊkt
ʃ ˈʌ t	ʃ ˈʌ t	1280	shut	shut	no_change	irregular	NA	ʃˈʌt	ʃˈʌt
l ˈæ s t	l ˈæ s t ɨ d	1266	last	lasted	∅ -> ɨ d	regular	NA	lˈæst	lˈæstɨd
ɪ g n ˈoʊ ɹ	ɪ g n ˈoʊ ɹ d	1264	ignore	ignored	∅ -> d	regular	NA	ɪgnˈoɹ	ɪgnˈoɹd
h ˈæ n d	h ˈæ n d ɨ d	1258	hand	handed	∅ -> ɨ d	regular	NA	hˈænd	hˈændɨd
ə t ˈæ k	ə t ˈæ k t	1255	attack	attacked	∅ -> t	regular	NA	ətˈæk	ətˈækt
k ə l ˈɛ k t	k ə l ˈɛ k t ɨ d	1252	collect	collected	∅ -> ɨ d	regular	NA	kəlˈɛkt	kəlˈɛktɨd
ə b z ˈɝ v	ə b z ˈɝ v d	1235	observe	observed	∅ -> d	regular	NA	əbzˈɝv	əbzˈɝvd
d ɪ s ə p ˈi ɹ	d ɪ s ə p ˈi ɹ d	1234	disappear	disappeared	∅ -> d	regular	NA	dɪsəpˈiɹ	dɪsəpˈiɹd
aɪ d ˈɛ n t ə f aɪ	aɪ d ˈɛ n t ə f aɪ d	1223	identify	identified	∅ -> d	regular	NA	YdˈɛntəfY	YdˈɛntəfYd
s t ɹ ˈɛ tʃ	s t ɹ ˈɛ tʃ t	1209	stretch	stretched	∅ -> t	regular	NA	stɹˈɛC	stɹˈɛCt
ə b t ˈeɪ n	ə b t ˈeɪ n d	1207	obtain	obtained	∅ -> d	regular	NA	əbtˈen	əbtˈend
h ˈɝ t	h ˈɝ t	1204	hurt	hurt	no_change	irregular	NA	hˈɝt	hˈɝt
dʒ ˈʌ m p	dʒ ˈʌ m p t	1195	jump	jumped	∅ -> t	regular	NA	Jˈʌmp	Jˈʌmpt
h ˈæ n d ə l	h ˈæ n d ə l d	1193	handle	handled	∅ -> d	regular	NA	hˈændəl	hˈændəld
k ə m b ˈaɪ n	k ə m b ˈaɪ n d	1190	combine	combined	∅ -> d	regular	NA	kəmbˈYn	kəmbˈYnd
s ə k s ˈi d	s ə k s ˈi d ɨ d	1187	succeed	succeeded	∅ -> ɨ d	regular	NA	səksˈid	səksˈidɨd
ɹ ɪ p ˈi t	ɹ ɪ p ˈi t ɨ d	1182	repeat	repeated	∅ -> ɨ d	regular	NA	ɹɪpˈit	ɹɪpˈitɨd
w ˈeɪ k	w ˈoʊ k	1181	wake	woke	eɪ -> oʊ	irregular	NA	wˈek	wˈok
b ˈɛ n d	b ˈɛ n t	1179	bend	bent	d -> t	irregular	NA	bˈɛnd	bˈɛnt
d ˈæ n s	d ˈæ n s t	1177	dance	danced	∅ -> t	regular	NA	dˈæns	dˈænst
d ɪ n ˈaɪ	d ɪ n ˈaɪ d	1172	deny	denied	∅ -> d	regular	NA	dɪnˈY	dɪnˈYd
ɪ n v ˈaɪ t	ɪ n v ˈaɪ t ɨ d	1171	invite	invited	∅ -> ɨ d	regular	NA	ɪnvˈYt	ɪnvˈYtɨd
d ɪ v ˈaɪ d	d ɪ v ˈaɪ d ɨ d	1146	divide	divided	∅ -> ɨ d	regular	NA	dɪvˈYd	dɪvˈYdɨd
p ɹ ə p ˈoʊ z	p ɹ ə p ˈoʊ z d	1132	propose	proposed	∅ -> d	regular	NA	pɹəpˈoz	pɹəpˈozd
s ə s p ˈɛ k t	s ə s p ˈɛ k t ɨ d	1131	suspect	suspected	∅ -> ɨ d	regular	NA	səspˈɛkt	səspˈɛktɨd
θ ɹ ˈɛ t ə n	θ ɹ ˈɛ t ə n d	1127	threaten	threatened	∅ -> d	regular	NA	θɹˈɛtən	θɹˈɛtənd
m ˈaɪ n d	m ˈaɪ n d ɨ d	1126	mind	minded	∅ -> ɨ d	regular	NA	mˈYnd	mˈYndɨd
k ˈaʊ n t	k ˈaʊ n t ɨ d	1122	count	counted	∅ -> ɨ d	regular	NA	kˈWnt	kˈWntɨd
ə f ˈoʊ ɹ d	ə f ˈoʊ ɹ d ɨ d	1119	afford	afforded	∅ -> ɨ d	regular	NA	əfˈoɹd	əfˈoɹdɨd
ˈoʊ ɹ g ə n aɪ z	ˈoʊ ɹ g ə n aɪ z d	1118	organize	organized	∅ -> d	regular	NA	ˈoɹgənYz	ˈoɹgənYzd
ɪ m p l ˈɔɪ	ɪ m p l ˈɔɪ d	1110	employ	employed	∅ -> d	regular	NA	ɪmplˈO	ɪmplˈOd
l ˈa k	l ˈa k t	1104	lock	locked	∅ -> t	regular	NA	lˈak	lˈakt
t ˈeɪ ɹ	t ˈoʊ ɹ	1101	tear	tore	eɪ -> oʊ	irregular	NA	tˈeɹ	tˈoɹ
s l ˈɪ p	s l ˈɪ p t	1100	slip	slipped	∅ -> t	regular	NA	slˈɪp	slˈɪpt
t ˈaɪ	t ˈaɪ d	1100	tie	tied	∅ -> d	regular	NA	tˈY	tˈYd
ɹ ɪ m ˈaɪ n d	ɹ ɪ m ˈaɪ n d ɨ d	1093	remind	reminded	∅ -> ɨ d	regular	NA	ɹɪmˈYnd	ɹɪmˈYndɨd
ə ɹ ˈaɪ z	ə ɹ ˈoʊ z	1088	arise	arose	aɪ -> oʊ	irregular	NA	əɹˈYz	əɹˈoz
k ˈa n s ə n t ɹ eɪ t	k ˈa n s ə n t ɹ eɪ t ɨ d	1084	concentrate	concentrated	∅ -> ɨ d	regular	NA	kˈansəntɹet	kˈansəntɹetɨd
k l ˈi n	k l ˈi n d	1083	clean	cleaned	∅ -> d	regular	NA	klˈin	klˈind
ə p ˈoʊ z	ə p ˈoʊ z d	1081	oppose	opposed	∅ -> d	regular	NA	əpˈoz	əpˈozd
ɪ s k ˈeɪ p	ɪ s k ˈeɪ p t	1079	escape	escaped	∅ -> t	regular	NA	ɪskˈep	ɪskˈept
ɹ ɪ dʒ ˈɛ k t	ɹ ɪ dʒ ˈɛ k t ɨ d	1074	reject	rejected	∅ -> ɨ d	regular	NA	ɹɪJˈɛkt	ɹɪJˈɛktɨd
n ˈoʊ t	n ˈoʊ t ɨ d	1072	note	noted	∅ -> ɨ d	regular	NA	nˈot	nˈotɨd
t ɹ ˈeɪ n	t ɹ ˈeɪ n d	1059	train	trained	∅ -> d	regular	NA	tɹˈen	tɹˈend
k ˈɪ s	k ˈɪ s t	1056	kiss	kissed	∅ -> t	regular	NA	kˈɪs	kˈɪst
ɪ n ʃ ˈu ɹ	ɪ n ʃ ˈu ɹ d	1051	ensure	ensured	∅ -> d	regular	NA	ɪnʃˈuɹ	ɪnʃˈuɹd
ə d ˈa p t	ə d ˈa p t ɨ d	1048	adopt	adopted	∅ -> ɨ d	regular	NA	ədˈapt	ədˈaptɨd
b ˈa ð ɚ	b ˈa ð ɚ d	1047	bother	bothered	∅ -> d	regular	NA	bˈaðɚ	bˈaðɚd
n ˈeɪ m	n ˈeɪ m d	1039	name	named	∅ -> d	regular	NA	nˈem	nˈemd
ɹ ɪ l ˈi s	ɹ ɪ l ˈi s t	1036	release	released	∅ -> t	regular	NA	ɹɪlˈis	ɹɪlˈist
ə k w ˈaɪ ɚ	ə k w ˈaɪ ɚ d	1035	acquire	acquired	∅ -> d	regular	NA	əkwˈYɚ	əkwˈYɚd
ɹ ɪ z ˈʌ l t	ɹ ɪ z ˈʌ l t ɨ d	1034	result	resulted	∅ -> ɨ d	regular	NA	ɹɪzˈʌlt	ɹɪzˈʌltɨd
v ˈoʊ t	v ˈoʊ t ɨ d	1031	vote	voted	∅ -> ɨ d	regular	NA	vˈot	vˈotɨd
s t ˈɛ p	s t ˈɛ p t	1030	step	stepped	∅ -> t	regular	NA	stˈɛp	stˈɛpt
ɹ ˈaɪ d	ɹ ˈoʊ d	1019	ride	rode	aɪ -> oʊ	irregular	NA	ɹˈYd	ɹˈod
s ˈæ t ɪ s f aɪ	s ˈæ t ɪ s f aɪ d	1016	satisfy	satisfied	∅ -> d	regular	NA	sˈætɪsfY	sˈætɪsfYd
v ˈeɪ ɹ i	v ˈeɪ ɹ i d	1010	vary	varied	∅ -> d	regular	NA	vˈeɹi	vˈeɹid
s w ˈɪ ŋ	s w ˈʌ ŋ	1001	swing	swung	ɪ -> ʌ	irregular	NA	swˈɪŋ	swˈʌŋ
d ɪ f ˈaɪ n	d ɪ f ˈaɪ n d	990	define	defined	∅ -> d	regular	NA	dɪfˈYn	dɪfˈYnd
d ɪ k l ˈeɪ ɹ	d ɪ k l ˈeɪ ɹ d	989	declare	declared	∅ -> d	regular	NA	dɪklˈeɹ	dɪklˈeɹd
k ˈɔ s t	k ˈɔ s t	985	cost	cost	no_change	irregular	NA	kˈɔst	kˈɔst
p ɚ s w ˈeɪ d	p ɚ s w ˈeɪ d ɨ d	980	persuade	persuaded	∅ -> ɨ d	regular	NA	pɚswˈed	pɚswˈedɨd
ə b ˈæ n d ə n	ə b ˈæ n d ə n d	975	abandon	abandoned	∅ -> d	regular	NA	əbˈændən	əbˈændənd
t ˈɛ s t	t ˈɛ s t ɨ d	974	test	tested	∅ -> ɨ d	regular	NA	tˈɛst	tˈɛstɨd
ˈɝ n	ˈɝ n d	973	earn	earned	∅ -> d	regular	NA	ˈɝn	ˈɝnd
ə t ɹ ˈæ k t	ə t ɹ ˈæ k t ɨ d	968	attract	attracted	∅ -> ɨ d	regular	NA	ətɹˈækt	ətɹˈæktɨd
ɪ n ˈeɪ b ə l	ɪ n ˈeɪ b ə l d	963	enable	enabled	∅ -> d	regular	NA	ɪnˈebəl	ɪnˈebəld
l ˈaɪ t	l ˈɪ t	962	light	light	aɪ -> ɪ	irregular	NA	lˈYt	lˈɪt
n ˈa k	n ˈa k t	961	knock	knocked	∅ -> t	regular	NA	nˈak	nˈakt
k ə m ˈɪ t	k ə m ˈɪ t ɨ d	958	commit	committed	∅ -> ɨ d	regular	NA	kəmˈɪt	kəmˈɪtɨd
ɹ ɪ l ˈæ k s	ɹ ɪ l ˈæ k s t	958	relax	relaxed	∅ -> t	regular	NA	ɹɪlˈæks	ɹɪlˈækst
d aɪ ɹ ˈɛ k t	d aɪ ɹ ˈɛ k t ɨ d	952	direct	directed	∅ -> ɨ d	regular	NA	dYɹˈɛkt	dYɹˈɛktɨd
ɹ ɪ k ˈɔ l	ɹ ɪ k ˈɔ l d	946	recall	recalled	∅ -> d	regular	NA	ɹɪkˈɔl	ɹɪkˈɔld
s t ˈi l	s t ˈoʊ l	941	steal	stole	i -> oʊ	irregular	NA	stˈil	stˈol
ɹ ˈɛ s t	ɹ ˈɛ s t ɨ d	939	rest	rested	∅ -> ɨ d	regular	NA	ɹˈɛst	ɹˈɛstɨd
ɪ k s p ˈi ɹ i ə n s	ɪ k s p ˈi ɹ i ə n s t	938	experience	experienced	∅ -> t	regular	NA	ɪkspˈiɹiəns	ɪkspˈiɹiənst
s ˈa l v	s ˈa l v d	938	solve	solved	∅ -> d	regular	NA	sˈalv	sˈalvd
ɹ ɪ k ˈoʊ ɹ d	ɹ ɪ k ˈoʊ ɹ d ɨ d	936	record	recorded	∅ -> ɨ d	regular	NA	ɹɪkˈoɹd	ɹɪkˈoɹdɨd
ə s ˈoʊ s i eɪ t	ə s ˈoʊ s i eɪ t ɨ d	935	associate	associated	∅ -> ɨ d	regular	NA	əsˈosiet	əsˈosietɨd
p ɹ ɪ t ˈɛ n d	p ɹ ɪ t ˈɛ n d ɨ d	934	pretend	pretended	∅ -> ɨ d	regular	NA	pɹɪtˈɛnd	pɹɪtˈɛndɨd
d ɪ t ˈɝ m ɪ n	d ɪ t ˈɝ m ɪ n d	927	determine	determined	∅ -> d	regular	NA	dɪtˈɝmɪn	dɪtˈɝmɪnd
k ə m p l ˈeɪ n	k ə m p l ˈeɪ n d	927	complain	complained	∅ -> d	regular	NA	kəmplˈen	kəmplˈend
ɹ ɪ s p ˈa n d	ɹ ɪ s p ˈa n d ɨ d	920	respond	responded	∅ -> ɨ d	regular	NA	ɹɪspˈand	ɹɪspˈandɨd
s ə p l ˈaɪ	s ə p l ˈaɪ d	920	supply	supplied	∅ -> d	regular	NA	səplˈY	səplˈYd
s w ˈi p	s w ˈɛ p t	915	sweep	swept	i p -> ɛ p t	irregular	NA	swˈip	swˈɛpt
ˈa k j ə p aɪ	ˈa k j ə p aɪ d	911	occupy	occupied	∅ -> d	regular	NA	ˈakjəpY	ˈakjəpYd
ɹ ˈʌ ʃ	ɹ ˈʌ ʃ t	911	rush	rushed	∅ -> t	regular	NA	ɹˈʌʃ	ɹˈʌʃt
m ˈɪ k s	m ˈɪ k s t	910	mix	mixed	∅ -> t	regular	NA	mˈɪks	mˈɪkst
s ˈɛ p ə ɹ eɪ t	s ˈɛ p ə ɹ eɪ t ɨ d	904	separate	separated	∅ -> ɨ d	regular	NA	sˈɛpəɹet	sˈɛpəɹetɨd
s t ˈeɪ t	s t ˈeɪ t ɨ d	904	state	stated	∅ -> ɨ d	regular	NA	stˈet	stˈetɨd
b ˈeɪ ɹ i	b ˈeɪ ɹ i d	898	bury	buried	∅ -> d	regular	NA	bˈeɹi	bˈeɹid
s ˈɪ ŋ k	s ˈæ ŋ k	892	sink	sank	ɪ -> æ	irregular	NA	sˈɪŋk	sˈæŋk
w ˈoʊ ɹ n	w ˈoʊ ɹ n d	883	warn	warned	∅ -> d	regular	NA	wˈoɹn	wˈoɹnd
k l ˈi ɹ	k l ˈi ɹ d	879	clear	cleared	∅ -> d	regular	NA	klˈiɹ	klˈiɹd
m ˈa ɹ k	m ˈa ɹ k t	879	mark	marked	∅ -> t	regular	NA	mˈaɹk	mˈaɹkt
ə t ˈæ tʃ	ə t ˈæ tʃ t	878	attach	attached	∅ -> t	regular	NA	ətˈæC	ətˈæCt
s ˈaɪ n	s ˈaɪ n d	877	sign	signed	∅ -> d	regular	NA	sˈYn	sˈYnd
ɪ k s p ˈoʊ z	ɪ k s p ˈoʊ z d	875	expose	exposed	∅ -> d	regular	NA	ɪkspˈoz	ɪkspˈozd
s ə ɹ ˈaʊ n d	s ə ɹ ˈaʊ n d ɨ d	873	surround	surrounded	∅ -> ɨ d	regular	NA	səɹˈWnd	səɹˈWndɨd
p ɹ ˈæ k t ɪ s	p ɹ ˈæ k t ɪ s t	870	practise	practised	∅ -> t	regular	NA	pɹˈæktɪs	pɹˈæktɪst
s k ɹ ˈi m	s k ɹ ˈi m d	868	scream	screamed	∅ -> d	regular	NA	skɹˈim	skɹˈimd
d ɹ ˈæ g	d ɹ ˈæ g d	867	drag	dragged	∅ -> d	regular	NA	dɹˈæg	dɹˈægd
k ə m p l ˈi t	k ə m p l ˈi t ɨ d	865	complete	completed	∅ -> ɨ d	regular	NA	kəmplˈit	kəmplˈitɨd
d ˈeɪ ɹ	d ˈeɪ ɹ d	861	dare	dared	∅ -> d	regular	NA	dˈeɹ	dˈeɹd
f ˈaɪ ɚ	f ˈaɪ ɚ d	860	fire	fired	∅ -> d	regular	NA	fˈYɚ	fˈYɚd
ə k ˈʌ m p ə n i	ə k ˈʌ m p ə n i d	858	accompany	accompanied	∅ -> d	regular	NA	əkˈʌmpəni	əkˈʌmpənid
t ɹ ˈʌ s t	t ɹ ˈʌ s t ɨ d	858	trust	trusted	∅ -> ɨ d	regular	NA	tɹˈʌst	tɹˈʌstɨd
l ˈoʊ ɚ	l ˈoʊ ɚ d	854	lower	lowered	∅ -> d	regular	NA	lˈoɚ	lˈoɚd
d ɹ ˈaɪ	d ɹ ˈaɪ d	853	dry	dried	∅ -> d	regular	NA	dɹˈY	dɹˈYd
g l ˈæ n s	g l ˈæ n s t	853	glance	glanced	∅ -> t	regular	NA	glˈæns	glˈænst
p ə z ˈɛ s	p ə z ˈɛ s t	850	possess	possessed	∅ -> t	regular	NA	pəzˈɛs	pəzˈɛst
s m ˈɛ l	s m ˈɛ l d	850	smell	smelled	∅ -> d	regular	NA	smˈɛl	smˈɛld
s m ˈɛ l	s m ˈɛ l t	850	smell	smelt	∅ -> t	irregular	***double	smˈɛl	smˈɛlt
s ˈu t	s ˈu t ɨ d	840	suit	suited	∅ -> ɨ d	regular	NA	sˈut	sˈutɨd
d ɪ f ˈɛ n d	d ɪ f ˈɛ n d ɨ d	839	defend	defended	∅ -> ɨ d	regular	NA	dɪfˈɛnd	dɪfˈɛndɨd
h ˈɛ d	h ˈɛ d ɨ d	838	head	headed	∅ -> ɨ d	regular	NA	hˈɛd	hˈɛdɨd
s w ˈɪ m	s w ˈæ m	837	swim	swam	ɪ -> æ	irregular	NA	swˈɪm	swˈæm
b l ˈeɪ m	b l ˈeɪ m d	834	blame	blamed	∅ -> d	regular	NA	blˈem	blˈemd
d ɪ l ˈɪ v ɚ	d ɪ l ˈɪ v ɚ d	834	deliver	delivered	∅ -> d	regular	NA	dɪlˈɪvɚ	dɪlˈɪvɚd
ɪ k s p ˈæ n d	ɪ k s p ˈæ n d ɨ d	832	expand	expanded	∅ -> ɨ d	regular	NA	ɪkspˈænd	ɪkspˈændɨd
ɪ m p l ˈaɪ	ɪ m p l ˈaɪ d	826	imply	implied	∅ -> d	regular	NA	ɪmplˈY	ɪmplˈYd
b ɪ h ˈeɪ v	b ɪ h ˈeɪ v d	825	behave	behaved	∅ -> d	regular	NA	bɪhˈev	bɪhˈevd
d ˈɛ m ə n s t ɹ eɪ t	d ˈɛ m ə n s t ɹ eɪ t ɨ d	821	demonstrate	demonstrated	∅ -> ɨ d	regular	NA	dˈɛmənstɹet	dˈɛmənstɹetɨd
ʃ ˈɪ f t	ʃ ˈɪ f t ɨ d	816	shift	shifted	∅ -> ɨ d	regular	NA	ʃˈɪft	ʃˈɪftɨd
w ˈeɪ v	w ˈeɪ v d	813	wave	waved	∅ -> d	regular	NA	wˈev	wˈevd
s ˈɝ tʃ	s ˈɝ tʃ t	810	search	searched	∅ -> t	regular	NA	sˈɝC	sˈɝCt
tʃ ˈa ɹ dʒ	tʃ ˈa ɹ dʒ d	808	charge	charged	∅ -> d	regular	NA	CˈaɹJ	CˈaɹJd
ə p ɹ ˈu v	ə p ɹ ˈu v d	802	approve	approved	∅ -> d	regular	NA	əpɹˈuv	əpɹˈuvd
f ɹ ˈi z	f ɹ ˈoʊ z	799	freeze	froze	i -> oʊ	irregular	NA	fɹˈiz	fɹˈoz
s m ˈoʊ k	s m ˈoʊ k t	796	smoke	smoked	∅ -> t	regular	NA	smˈok	smˈokt
